date,value
2015-01-07,1187653.4464999977
2015-01-08,1196523.9118999979
2015-01-09,1196071.8606999977
2015-01-13,1192597.3735999977
2015-01-14,1184217.7214999977
2015-01-15,1193185.7637999977
2015-01-16,1186244.8205999976
2015-01-19,1190546.278099998
2015-01-20,1201133.1860999977
2015-01-21,1197894.2217999976
2015-01-22,1198826.5835999977
2015-01-23,1204622.6172999977
2015-01-26,1203625.2308999978
2015-01-27,1213698.7024999978
2015-01-28,1215614.1940999976
2015-01-29,1210394.3455999976
2015-01-30,1212801.2514999977
2015-02-02,1210423.3985999976
2015-02-03,1203655.8307999978
2015-02-04,1214408.9809999978
2015-02-05,1208843.555999998
2015-02-06,1212307.221999998
2015-02-09,1214908.3493999979
2015-02-10,1213852.547799998
2015-02-12,1223844.062299998
2015-02-13,1221746.0908999979
2015-02-16,1225025.0481999977
2015-02-17,1226148.3136999977
2015-02-18,1233083.1965999976
2015-02-19,1236052.3921999978
2015-02-20,1238181.7823999978
2015-02-23,1242432.0943999977
2015-02-24,1246422.0066999977
2015-02-25,1244644.3112999976
2015-02-26,1250866.5024999978
2015-02-27,1251305.4201999977
2015-03-02,1252143.2531999978
2015-03-03,1251597.8524999977
2015-03-04,1247715.3437999976
2015-03-05,1249465.3265999975
2015-03-06,1255753.0811999976
2015-03-09,1251305.0500999978
2015-03-10,1247836.6901999977
2015-03-11,1249331.4864999978
2015-03-12,1257401.7557999978
2015-03-13,1264609.9909999978
2015-03-16,1264156.5113999979
2015-03-17,1269152.5333999977
2015-03-18,1272854.6521999976
2015-03-19,1270368.6994999978
2015-03-20,1272793.0818999978
2015-03-23,1278679.4686999978
2015-03-24,1277600.2515999977
2015-03-25,1279504.7787999976
2015-03-26,1270305.2648999977
2015-03-27,1267575.6231999975
2015-03-30,1270317.8256999976
2015-03-31,1262398.9457999975
2015-04-01,1257990.4498999976
2015-04-02,1266728.1983999975
2015-04-03,1270159.7083999976
2015-04-06,1268342.8074999976
2015-04-07,1276429.3021999975
2015-04-08,1280746.5153999976
2015-04-09,1283559.2330999975
2015-04-10,1281831.7785999975
2015-04-13,1280443.8068999974
2015-04-14,1281505.2708999976
2015-04-15,1280794.7157999976
2015-04-16,1282860.1227999977
2015-04-17,1276978.3916999977
2015-04-20,1275969.0582999978
2015-04-21,1283928.8220999977
2015-04-22,1289744.6892999976
2015-04-23,1292180.7676999979
2015-04-24,1288242.0563999978
2015-04-27,1287188.3855999978
2015-04-28,1290238.3258999977
2015-04-30,1275594.4889999977
2015-05-01,1273347.6394999977
2015-05-07,1268432.208199998
2015-05-08,1272450.9561999978
2015-05-11,1278240.036599998
2015-05-12,1280517.8845999981
2015-05-13,1285149.783299998
